MA-Line	Sample	MeanDepth
RUD4	SRR16296370	28.172315340431965
RUD4	SRR16296374	18.15549280977083
RUD4	SRR16296385	19.614516601086144
RUD4	SRR16296396	10.074884569122725
RUD4	SRR16296413	14.657155240915987
RUD6_Founder	SRR16296186	27.193211742904516
RUD6_Founder	SRR16296187	25.007604562737644
RUD6	SRR16296188	13.006976158797512
RUD6	SRR16296221	22.869894454682527
RUD6	SRR16296225	11.117217753946976
RUD6	SRR16296226	32.07346480362039
RUD6	SRR16296227	19.008611165269382
RUD6	SRR16296228	31.236847091517717
RUD6	SRR16296229	27.884778978543746
RUD6	SRR16296230	24.486623442024424
RUD6	SRR16296231	12.775193798449612
RUD6	SRR16296232	25.00043468084395
RUD6	SRR16296233	17.241215277777776
RUD6	SRR16296234	26.148828816787518
RUD6	SRR16296236	20.92996753685919
RUD6	SRR16296237	12.091314277294828
RUD6	SRR16296238	13.919112920505679
RUD6	SRR16296239	17.642075087210305
RUD6	SRR16296240	17.608266226168354
RUD6	SRR16296241	19.676788628944504
RUD6	SRR16296242	22.652986821860996
RUD6	SRR16296243	17.769765752050102
RUD6	SRR16296244	16.568337010190145
RUD6	SRR16296245	25.273705515263956
RUD6	SRR16296247	24.118135376756065
RUD6	SRR16296248	18.801042601670925
RUD6	SRR16296249	26.75384460749824
RUD6	SRR16296250	25.700291406885334
RUD6	SRR16296251	13.568968662215898
RUD6	SRR16296252	9.69026651666214
RUD6	SRR16296253	18.876471197321646
RUD6	SRR16296254	14.058722858059685
RUD6	SRR16296255	11.085529512915405
RUD6	SRR16296256	22.08043093744975
RUD6	SRR16296258	11.815401744293933
RUD6	SRR16296259	16.893796493092456
RUD6	SRR16296260	12.940409272934348
RUD6	SRR16296261	25.91914153512946
RUD6	SRR16296262	24.19905434203516
RUD6	SRR16296263	11.378394420537171
RUD6	SRR16296264	8.373745269047227
RUD6	SRR16296265	23.609199589363183
RUD6	SRR16296266	11.79596429098421
RUD6	SRR16296267	12.985406408335118
RUD6	SRR16296269	14.565637471119512
RUD6	SRR16296270	21.746643959126427
RUD6	SRR16296271	25.949082568807338
RUD6	SRR16296272	18.151937524713325
RUD6	SRR16296273	29.374117877679037
RUD6	SRR16296274	8.918640122019747
RUD6	SRR16296275	23.629824854045037
RUD6	SRR16296276	26.281358304452144
SB4_Founder	SRR16296095	23.47971374674372
SB4	SRR16296096	19.433839203334287
SB4	SRR16296097	25.915440836340085
SB4	SRR16296098	21.72968925496069
SB4	SRR16296099	24.487645730896496
SB4	SRR16296100	17.706549494279557
SB4	SRR16296101	22.80785150692019
SB4	SRR16296102	15.712189845176121
SB4	SRR16296104	17.296977313314372
SB4	SRR16296105	18.481642036124796
SB4	SRR16296106	29.557367149758456
SB4	SRR16296107	28.59457738149395
SB4	SRR16296108	20.038314800926077
SB4	SRR16296109	22.011662531017368
SB4	SRR16296110	7.362808562057656
SB4	SRR16296111	14.292733127510541
SB4	SRR16296112	29.012768337009536
SB4	SRR16296113	23.956361140167363
SB4	SRR16296115	26.494920838290472
SB4	SRR16296116	19.956107594936707
SB4	SRR16296117	20.551190476190477
SB4	SRR16296118	18.297792240939255
SB4	SRR16296119	16.829142654776085
SB4	SRR16296120	18.10845786963434
SB4	SRR16296121	26.364843916228455
SB4	SRR16296122	27.54891436935838
SB4	SRR16296123	22.75893769152196
SB4	SRR16296124	16.461848468565286
SB4	SRR16296158	23.478858350951374
SB4	SRR16296159	20.68369209466264
SB4	SRR16296160	18.33047127178825
SB4	SRR16296161	7.765861089382025
SB4	SRR16296162	28.34773231264619
SB4	SRR16296163	11.166178080740297
SB4	SRR16296164	19.755793623040976
SB4	SRR16296165	17.429531285331265
SB4	SRR16296166	18.692593541773448
SB4	SRR16296167	30.73181954887218
SB4	SRR16296169	13.469331798794936
SB4	SRR16296170	19.73790448770107
SB4	SRR16296171	18.326238830219335
SB4	SRR16296172	17.20977564102564
SB4	SRR16296173	29.83655212016804
SB4	SRR16296174	25.451439504373177
SB4	SRR16296175	21.911836532813997
SB4	SRR16296176	17.57827610826248
SB4	SRR16296177	11.51500558347292
SB4	SRR16296178	12.431957612939208
SB4	SRR16296180	14.049723756906078
SB4	SRR16296181	25.19953466728711
SB4	SRR16296182	19.822605073835668
SB4	SRR16296183	26.774370511911734
SB4	SRR16296184	24.45221843003413
SB4	SRR16296185	25.83463338533541
SB5_Founder	SRR16296407	25.3887453431078
SB5_Founder	SRR16296408	24.49196317340707
SB5	SRR16296006	15.141459899104293
SB5	SRR16296007	16.7109572626814
SB5	SRR16296008	19.412746635306416
SB5	SRR16296009	19.129727466013787
SB5	SRR16296010	21.4821232301028
SB5	SRR16296011	17.009646622024796
SB5	SRR16296012	22.49529278855206
SB5	SRR16296013	24.291055975987483
SB5	SRR16296014	30.900202186137612
SB5	SRR16296017	20.59268980904259
SB5	SRR16296018	19.51622963340122
SB5	SRR16296019	29.296938150642987
SB5	SRR16296020	21.49136119908438
SB5	SRR16296021	21.65089445719496
SB5	SRR16296022	15.901749798873693
SB5	SRR16296023	17.20295361437822
SB5	SRR16296024	10.966040722354126
SB5	SRR16296025	40.106952031282646
SB5	SRR16296026	19.170586739558832
SB5	SRR16296028	10.346768845331958
SB5	SRR16296061	22.753213127027703
SB5	SRR16296062	10.420278833967046
SB5	SRR16296063	28.216041238378693
SB5	SRR16296064	20.60658601280973
SB5	SRR16296065	17.4025494242162
SB5	SRR16296066	22.48043430508049
SB5	SRR16296067	14.47722972972973
SB5	SRR16296068	15.96169580996371
SB5	SRR16296069	43.5558075006713
SB5	SRR16296071	24.334829219645975
SB5	SRR16296072	26.070431161195494
SB5	SRR16296073	13.803801307541956
SB5	SRR16296074	20.39772262590041
SB5	SRR16296075	23.79357640516137
SB5	SRR16296076	21.270153125790937
SB5	SRR16296077	24.593833281685775
SB5	SRR16296078	17.8461190898822
SB5	SRR16296079	30.35149772052749
SB5	SRR16296080	14.762397038716777
SB5	SRR16296082	19.58988513082323
SB5	SRR16296083	23.84846879965108
SB5	SRR16296084	20.302583494867964
SB5	SRR16296085	21.414926029462574
SB5	SRR16296086	19.838065362824494
SB5	SRR16296087	15.14795428192811
SB5	SRR16296088	7.749510096276731
SB5	SRR16296089	15.775070259547032
SB5	SRR16296090	10.371652514696278
SB5	SRR16296091	11.066423305418366
SB5	SRR16296093	18.36737574999198
SB5	SRR16296094	18.779950003204924
SB5	SRR16296409	20.719218406899405
SB5	SRR16296410	21.577146300466207
SB5	SRR16296411	13.390867831109889
SB5	SRR16296412	13.12778848801983
SB5	SRR16296414	30.587155386501525
