unit	rate
1	0.00145454545454545
1	0.00333333333333333
1	0.00631578947368421
1	0.00421052631578947
1	0.00210526315789474
1	0.00273972602739726
1	0.00327868852459016
1	0.0016
1	0.00285714285714286
1	0
1	0.0027027027027027
1	0.00373333333333333
1	0.00131147540983607
1	0.00176470588235294
1	0.0019047619047619
1	0.00387096774193548
1	0.00166666666666667
1	0.00296296296296296
1	0.00452830188679245
1	0.00156862745098039
1	0.00235294117647059
1	0.00123076923076923
1	0.00173913043478261
1	0
1	0.002
1	0.00173913043478261
1	0.0024
1	0.00303030303030303
1	0.0032
1	0.00228571428571429
1	0.00186046511627907
1	0.00166666666666667
1	0.000909090909090909
1	0.0048780487804878
1	0.00333333333333333
1	0.00114285714285714
1	0
1	0.00206896551724138
1	0
1	0.00296296296296296
1	0
1	0
1	0
1	0
1	0.00258064516129032
1	0.0025
1	0.00266666666666667
1	0.00218181818181818
1	0.00342857142857143
1	0.000714285714285714
1	0.00258064516129032
1	0.00206896551724138
1	0.000869565217391304
1	0.000816326530612245
1	0.00285714285714286
1	0.000727272727272727
1	0.00326530612244898
1	0.00210526315789474
1	0.00153846153846154
1	0.00181818181818182
1	0.00226415094339623
1	0.00258064516129032
1	0.00384615384615385
1	0.0027906976744186
1	0.000833333333333333
1	0
1	0
1	0.000930232558139535
1	0.00186046511627907
1	0.00145454545454545
1	0.00173913043478261
1	0.00114285714285714
1	0.00111111111111111
1	0.000930232558139535
1	0.0025531914893617
1	0.0016
1	0.00238805970149254
1	0.000952380952380952
1	0.00131147540983607
1	0.000714285714285714
1	0.00344827586206897
1	0.00186046511627907
1	0.00222222222222222
1	0.00133333333333333
1	0.000869565217391304
1	0.00153846153846154
1	0.00273972602739726
1	0.0019672131147541
1	0.00150943396226415
1	0
1	0.00253968253968254
1	0.00112676056338028
1	0
1	0.000769230769230769
1	0.00294117647058824
1	0.00357142857142857
1	0.000869565217391304
1	0.000869565217391304
1	0.000784313725490196
1	0.00375
1	0.00357142857142857
1	0.00135593220338983
1	0.00133333333333333
1	0.002
1	0.000888888888888889
1	0.00260869565217391
1	0.00173913043478261
2	0.0027299703264095
2	0.00157894736842105
2	0.00110091743119266
2	0.00246153846153846
2	0.00161073825503356
2	0.00261501210653753
2	0.00232044198895028
2	0.00377171215880893
2	0.00342342342342342
