unit	μ
107	0
107	0.00244897959183673
107	0.00155339805825243
107	0.00209150326797386
107	0.00225988700564972
107	0.00166666666666667
107	0.00271062271062271
107	0.00224532224532225
107	0.00340740740740741
107	0.00323232323232323
107	0.00192771084337349
107	0.0018860510805501
107	0.00307116104868914
107	0.00274285714285714
107	0.00279441117764471
107	0.0024
107	0.00207207207207207
107	0.00328421052631579
107	0.00230277185501066
107	0.00217616580310881
107	0.00232323232323232
107	0.00309597523219814
107	0.00293069306930693
107	0.00295918367346939
107	0.00118811881188119
107	0.00256267409470752
107	0.00226865671641791
107	0.00272479564032698
107	0.0025531914893617
107	0.00309178743961353
107	0.00238244514106583
107	0.00255072463768116
107	0.00224598930481283
107	0.00237113402061856
107	0.00284090909090909
107	0.00198250728862974
107	0.00191304347826087
107	0.00168067226890756
107	0.00234718826405868
107	0.00109090909090909
107	0.00260536398467433
107	0.00203636363636364
107	0.00263291139240506
107	0.00183606557377049
107	0.00149253731343284
107	0.00165137614678899
107	0.00223350253807107
107	0.0015748031496063
107	0.00232558139534884
107	0.00213483146067416
107	0.00220264317180617
107	0.00194092827004219
107	0.00227272727272727
107	0.0022
107	0.00298507462686567
107	0.0028246013667426
107	0.00241813602015113
107	0.00264462809917355
107	0.0028997867803838
107	0.00258928571428571
107	0.00255489021956088
107	0.00251207729468599
107	0.00178082191780822
107	0.00256880733944954
107	0.0018941504178273
107	0.00253041362530414
107	0.00220289855072464
107	0.00171919770773639
107	0.00253443526170799
107	0.00181818181818182
107	0.00224390243902439
107	0.00193548387096774
107	0.00230452674897119
107	0.00146179401993355
107	0.00165413533834586
107	0.00239130434782609
107	0.00230547550432277
107	0.00210953346855984
107	0.00167247386759582
107	0.00198275862068966
107	0.00274428274428274
107	0.00278026905829596
107	0.00206303724928367
107	0.0025
107	0.00209606986899563
107	0.00317460317460317
107	0.00273348519362187
107	0.00281904761904762
107	0.00196428571428571
107	0.00247706422018349
107	0.00181818181818182
107	0.00217687074829932
107	0.00236734693877551
107	0.00196319018404908
107	0.00266666666666667
107	0.00299212598425197
107	0.00227571115973742
107	0.00182741116751269
107	0.00178272980501393
107	0.00163522012578616
107	0.00194444444444444
107	0.0025
107	0.00265402843601896
107	0.0031924882629108
107	0.00205787781350482
107	0.00256410256410256
107	0.00198019801980198
107	0.00269794721407625
CN1A18	0.02
CN1A18	0.008
CN1A18	0.025
CN1A18	0.02
CN1A18	0.0235294117647059
