pos	rate
CDS	0.00571428571428571
CDS	0
CDS	0
CDS	0
CDS	0
CDS	0.005
CDS	0
CDS	0.005
CDS	0.005
CDS	0
CDS	0
CDS	0.00571428571428571
CDS	0
CDS	0.00571428571428571
CDS	0
CDS	0
CDS	0.00666666666666667
CDS	0.005
CDS	0.00571428571428571
CDS	0
CDS	0
CDS	0
CDS	0
CDS	0
CDS	0
CDS	0
CDS	0
CDS	0
CDS	0
CDS	0
CDS	0
CDS	0.00571428571428571
CDS	0
CDS	0
CDS	0
CDS	0
CDS	0
CDS	0
CDS	0
CDS	0.00571428571428571
CDS	0
CDS	0
CDS	0.00666666666666667
CDS	0
CDS	0
CDS	0
CDS	0
CDS	0
CDS	0
CDS	0
CDS	0
CDS	0.005
CDS	0
CDS	0
CDS	0.00666666666666667
CDS	0.00571428571428571
CDS	0.01
CDS	0.005
CDS	0
CDS	0.00571428571428571
CDS	0.005
CDS	0
CDS	0.00571428571428571
CDS	0
CDS	0.005
CDS	0
CDS	0.00571428571428571
CDS	0.01
CDS	0
CDS	0.00666666666666667
CDS	0
CDS	0.01
CDS	0.00666666666666667
CDS	0.00666666666666667
CDS	0.00571428571428571
CDS	0
CDS	0
CDS	0
CDS	0.005
CDS	0
CDS	0.00571428571428571
CDS	0
CDS	0.00571428571428571
CDS	0
CDS	0
CDS	0
CDS	0.005
CDS	0
CDS	0
CDS	0.005
CDS	0.00571428571428571
CDS	0.00571428571428571
CDS	0
CDS	0.01
CDS	0
CDS	0.00571428571428571
CDS	0
CDS	0.005
CDS	0
CDS	0
CDS	0
CDS	0.00571428571428571
CDS	0
CDS	0.005
CDS	0
CDS	0
CDS	0.00571428571428571
Down_1K	0.00333333333333333
Down_1K	0
Down_1K	0
Down_1K	0.00235294117647059
Down_1K	0.0016
Down_1K	0.00166666666666667
Down_1K	0.00181818181818182
Down_1K	0
Down_1K	0.0032
Down_1K	0
Down_1K	0.0027906976744186
Down_1K	0.00285714285714286
Down_1K	0.000975609756097561
Down_1K	0.00434782608695652
Down_1K	0.00105263157894737
Down_1K	0.000975609756097561
Down_1K	0.00102564102564103
Down_1K	0.00272727272727273
Down_1K	0.00512820512820513
Down_1K	0.00292682926829268
Down_1K	0.005
Down_1K	0.00434782608695652
Down_1K	0.00333333333333333
Down_1K	0
Down_1K	0.00133333333333333
Down_1K	0.00275862068965517
Down_1K	0.00125
Down_1K	0
Down_1K	0.00540540540540541
Down_1K	0.00125
Down_1K	0
Down_1K	0.00235294117647059
Down_1K	0
Down_1K	0.00266666666666667
Down_1K	0
Down_1K	0.00166666666666667
Down_1K	0.00166666666666667
Down_1K	0.00272727272727273
Down_1K	0
Down_1K	0.00380952380952381
Down_1K	0.00148148148148148
Down_1K	0
Down_1K	0
Down_1K	0.00307692307692308
Down_1K	0.00210526315789474
Down_1K	0.002
Down_1K	0
Down_1K	0.00307692307692308
Down_1K	0.00117647058823529
Down_1K	0.00195121951219512
Down_1K	0.000952380952380952
Down_1K	0.00315789473684211
Down_1K	0
Down_1K	0.00222222222222222
Down_1K	0.00307692307692308
Down_1K	0.00117647058823529
Down_1K	0.000975609756097561
Down_1K	0.001
Down_1K	0
Down_1K	0.000833333333333333
Down_1K	0.00457142857142857
Down_1K	0.00142857142857143
Down_1K	0.00210526315789474
Down_1K	0
Down_1K	0
Down_1K	0.00516129032258065
Down_1K	0.00285714285714286
Down_1K	0.00121212121212121
Down_1K	0.00205128205128205
Down_1K	0
Down_1K	0.00105263157894737
Down_1K	0.00166666666666667
Down_1K	0
Down_1K	0
Down_1K	0.00333333333333333
Down_1K	0.00285714285714286
Down_1K	0.001
Down_1K	0.00173913043478261
Down_1K	0.005
Down_1K	0.00355555555555556
Down_1K	0.0019047619047619
Down_1K	0.00296296296296296
Down_1K	0
Down_1K	0.00266666666666667
Down_1K	0
Down_1K	0.001
Down_1K	0.00392156862745098
Down_1K	0.00195121951219512
Down_1K	0
Down_1K	0
Down_1K	0.00216216216216216
Down_1K	0
Down_1K	0.00170212765957447
Down_1K	0.000851063829787234
Down_1K	0.00416666666666667
Down_1K	0.001
Down_1K	0.00102564102564103
Down_1K	0
Down_1K	0
Down_1K	0.00148148148148148
Down_1K	0.00342857142857143
Down_1K	0.00105263157894737
Down_1K	0.00390243902439024
Down_1K	0.00153846153846154
Down_1K	0.00216216216216216
Down_1K	0.00153846153846154
Down_1K	0.00216216216216216
Others	0.00436363636363636
Others	0.0019047619047619
Others	0.00387096774193548
Others	0.00540540540540541
Others	0.004
Others	0.0035036496350365
Others	0.00416
Others	0.00447761194029851
Others	0.00484076433121019
Others	0.00465116279069767
Others	0.00202898550724638
Others	0.00451127819548872
Others	0.004
Others	0.00363636363636364
Others	0.0036036036036036
Others	0.00464285714285714
Others	0.00448
Others	0.00310344827586207
Others	0.00208333333333333
Others	0.00297872340425532
Others	0.00216216216216216
Others	0.00403100775193798
Others	0.00277227722772277
Others	0.00195121951219512
Others	0.00454545454545455
Others	0.00275862068965517
Others	0.00291666666666667
Others	0.00330578512396694
Others	0.0028
Others	0.00394366197183099
Others	0.00413793103448276
Others	0.00297872340425532
Others	0.00274509803921569
Others	0.00449438202247191
Others	0.0025
Others	0.00326530612244898
Others	0.00186046511627907
Others	0.00412371134020619
Others	0.000833333333333333
Others	0.00137931034482759
Others	0.00303030303030303
Others	0.00378947368421053
Others	0.00315789473684211
Others	0.00342857142857143
Others	0.000689655172413793
Others	0.00181818181818182
Others	0.00428571428571429
Others	0.00210526315789474
Others	0.00311111111111111
Others	0.00330275229357798
Others	0.0031858407079646
Others	0.00310344827586207
Others	0.00323232323232323
Others	0.0065979381443299
Others	0.00490566037735849
Others	0.00179775280898876
Others	0.00310077519379845
Others	0.00524590163934426
Others	0.00432432432432432
Others	0.00369747899159664
Others	0.00419047619047619
Others	0.0028169014084507
Others	0.00290909090909091
Others	0.00316831683168317
Others	0.00344086021505376
Others	0.002
Others	0.0025
Others	0.0025
Others	0.00155339805825243
Others	0.00326530612244898
Others	0.00307692307692308
Others	0.00140350877192982
Others	0.00207792207792208
Others	0.00173913043478261
Others	0.000975609756097561
Others	0.00404494382022472
Others	0.00366666666666667
Others	0.00235294117647059
Others	0.00146788990825688
Others	0.00310344827586207
Others	0.00491228070175439
Others	0.00192771084337349
Others	0.00336448598130841
Others	0.00224299065420561
Others	0.00610169491525424
Others	0.00324324324324324
Others	0.00416
Others	0.00241379310344828
Others	0.00485981308411215
Others	0.00363636363636364
Others	0.00344827586206897
Others	0.00302521008403361
Others	0.00258064516129032
Others	0.00218181818181818
Others	0.00491803278688525
Others	0.00271186440677966
Others	0.00232558139534884
Others	0.0020253164556962
Others	0.00162162162162162
Others	0.0032258064516129
Others	0.00260162601626016
Others	0.0031858407079646
Others	0.00342857142857143
Others	0.0025974025974026
Others	0.00294736842105263
Others	0.00162162162162162
Others	0.00341463414634146
Intron	0.000833333333333333
Intron	0
Intron	0.0025
Intron	0.0025
Intron	0.00347826086956522
Intron	0.00357142857142857
Intron	0
Intron	0.00384615384615385
Intron	0.00137931034482759
Intron	0
Intron	0
Intron	0.0030188679245283
Intron	0.000754716981132075
Intron	0
Intron	0.000833333333333333
Intron	0.00105263157894737
Intron	0.00357142857142857
Intron	0.00347826086956522
Intron	0
Intron	0.00210526315789474
Intron	0.00142857142857143
Intron	0.00226415094339623
Intron	0.003
Intron	0.0016
Intron	0.00432432432432432
Intron	0.00114285714285714
Intron	0
Intron	0.0024
Intron	0.00347826086956522
Intron	0
Intron	0
Intron	0.00125
Intron	0.00181818181818182
Intron	0
Intron	0.00222222222222222
Intron	0.00148148148148148
Intron	0
Intron	0.00114285714285714
Intron	0
Intron	0.00216216216216216
Intron	0
Intron	0.001
Intron	0
Intron	0.00266666666666667
Intron	0
Intron	0
Intron	0
Intron	0.00285714285714286
Intron	0
Intron	0.000784313725490196
Intron	0.000769230769230769
Intron	0.00170212765957447
Intron	0.000930232558139535
Intron	0
Intron	0.00181818181818182
Intron	0.00372093023255814
Intron	0.00230769230769231
Intron	0.0008
Intron	0.00163265306122449
Intron	0.00307692307692308
Intron	0.00170212765957447
Intron	0.00129032258064516
Intron	0.0025
Intron	0.001
Intron	0.000975609756097561
Intron	0
Intron	0.002
Intron	0
Intron	0.00186046511627907
Intron	0.00195121951219512
Intron	0.00307692307692308
Intron	0.00137931034482759
Intron	0.00222222222222222
Intron	0.0032
Intron	0.00272727272727273
Intron	0.00114285714285714
Intron	0.00142857142857143
Intron	0
Intron	0.000740740740740741
Intron	0.000816326530612245
Intron	0.000869565217391304
Intron	0.00177777777777778
Intron	0
Intron	0.00177777777777778
Intron	0.0019047619047619
Intron	0.00266666666666667
Intron	0.00150943396226415
Intron	0.000833333333333333
Intron	0.00181818181818182
Intron	0.0008
Intron	0.00186046511627907
Intron	0.00226415094339623
Intron	0.00166666666666667
Intron	0
Intron	0.0032
Intron	0.00266666666666667
Intron	0.0019047619047619
Intron	0.00105263157894737
Intron	0.00387096774193548
Intron	0.00111111111111111
Intron	0.00181818181818182
Intron	0
Intron	0.001
Intron	0
Intron	0.00205128205128205
Intron	0.00258064516129032
Intron	0.00125
UP_2K	0.0019047619047619
UP_2K	0.00292682926829268
UP_2K	0.000634920634920635
UP_2K	0.00162162162162162
UP_2K	0
UP_2K	0.00201834862385321
UP_2K	0.00241758241758242
UP_2K	0.00409302325581395
UP_2K	0.00300884955752212
